row,column,hmx,rdx
1,1,NA,NA
1,2,0.044,0.094
1,3,0.048,0.085
1,4,0.04,0.125
1,5,0.052,0.101
1,6,0.075,0.359
1,7,0.421,4.97
1,8,0.491,5.89
1,9,0.12,0.135
1,10,1.28,13.7
2,1,0.03,0.87
2,2,0.055,0.179
2,3,0.052,0.138
2,4,0.056,0.132
2,5,0.06,0.111
2,6,0.061,0.117
2,7,0.056,0.137
2,8,0.052,0.123
2,9,0.1,0.265
2,10,0.142,1.46
3,1,NA,1.04
3,2,0.101,0.655
3,3,0.045,0.111
3,4,0.045,0.142
3,5,0.046,0.147
3,6,0.145,0.846
3,7,0.095,0.258
3,8,0.198,1.41
3,9,0.135,0.784
3,10,0.1,0.423
4,1,NA,NA
4,2,0.06,0.062
4,3,0.054,0.127
4,4,0.091,0.048
4,5,0.32,0.67
4,6,0.105,0.054
4,7,0.226,2.02
4,8,0.361,1.59
4,9,0.087,0.087
4,10,0.056,0.172
5,1,NA,NA
5,2,0.05,0.056
5,3,0.041,NA
5,4,0.057,0.057
5,5,0.528,6.42
5,6,0.101,0.206
5,7,0.153,0.253
5,8,0.173,0.222
5,9,0.065,0.143
5,10,0.23,0.509
6,1,0.038,0.294
6,2,0.076,0.203
6,3,0.052,0.083
6,4,0.097,0.171
6,5,0.225,0.481
6,6,0.484,1.6
6,7,0.18,0.418
6,8,0.173,0.922
6,9,0.08,0.051
6,10,0.116,0.043
7,1,0.041,NA
7,2,0.27,3
7,3,0.053,0.055
7,4,0.174,0.952
7,5,0.261,2.11
7,6,0.11,0.575
7,7,0.117,0.255
7,8,0.137,0.176
7,9,0.065,0.127
7,10,0.081,0.047
8,1,NA,NA
8,2,0.038,0.06
8,3,0.106,0.546
8,4,0.061,0.051
8,5,0.072,0.23
8,6,0.079,0.086
8,7,0.151,0.111
8,8,0.093,0.092
8,9,0.313,0.475
8,10,0.179,1.41
9,1,0.286,0.849
9,2,0.039,0.069
9,3,0.051,NA
9,4,0.153,1.35
9,5,0.138,1.1
9,6,0.243,2.21
9,7,0.11,0.858
9,8,0.157,1.35
9,9,0.051,0.049
9,10,0.033,NA
10,1,NA,NA
10,2,0.066,0.324
10,3,0.074,0.131
10,4,0.066,0.087
10,5,0.266,2.93
10,6,0.06,0.119
10,7,0.057,NA
10,8,0.271,1.62
10,9,0.112,0.065
10,10,0.187,0.876
