row,column,rdx
1,1,17.1
1,2,1.27
1,3,0.829
1,4,0.908
1,5,10.9
1,6,4.44
1,7,0.437
1,8,0.354
1,9,1.52
1,10,0.067
2,1,0.805
2,2,24.1
2,3,7.73
2,4,0.539
2,5,0.26
2,6,0.233
2,7,0.366
2,8,1.93
2,9,0.731
2,10,0.138
3,1,30.8
3,2,1.4
3,3,12.5
3,4,0.342
3,5,0.074
3,6,1.11
3,7,0.18
3,8,0.076
3,9,7.11
3,10,0.187
4,1,12.7
4,2,138
4,3,53.7
4,4,3.85
4,5,4.94
4,6,1.22
4,7,4.63
4,8,0.47
4,9,2.41
4,10,1.06
5,1,331
5,2,9.7
5,3,3.96
5,4,1.44
5,5,3.67
5,6,0.243
5,7,3.21
5,8,0.254
5,9,1.03
5,10,0.073
6,1,7.52
6,2,5.65
6,3,1.97
6,4,0.571
6,5,4.84
6,6,19.9
6,7,0.825
6,8,0.122
6,9,1.46
6,10,0.07
7,1,1.65
7,2,1.56
7,3,8.51
7,4,10.6
7,5,2.24
7,6,25.2
7,7,7.15
7,8,0.248
7,9,0.175
7,10,0.037
8,1,48.3
8,2,13.3
8,3,3.36
8,4,6.93
8,5,889
8,6,21.8
8,7,3.75
8,8,0.618
8,9,0.193
8,10,0.081
9,1,1.18
9,2,1.03
9,3,64.3
9,4,557
9,5,1790
9,6,2390
9,7,11.3
9,8,1.65
9,9,0.335
9,10,0.263
10,1,8.86
10,2,3.5
10,3,5.02
10,4,42.7
10,5,385
10,6,24.9
10,7,3.64
10,8,0.96
10,9,0.526
10,10,0.161
